Type,Name,Display Name,Bin Number,Location,On Hand
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",Overflow Inventor B3,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4284A,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4284B,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4411B,Bay 4 Bulk Storage,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4344B,Ogden Manufacturing,260
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4411B,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4422A,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",PG1052D,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4253A,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",PG2043A,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4312B,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",PG2041A,Ogden Manufacturing,77
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4282B,Ogden Manufacturing,100
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",Inspection Square B2,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",PG2052B,Ogden Manufacturing,28
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4541B,Ogden Manufacturing,15
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4371A,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4474B,Ogden Manufacturing,35
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4464B,Ogden Manufacturing,35
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4471B,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4484A,Ogden Manufacturing,35
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4514A,Ogden Manufacturing,35
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4524A,Ogden Manufacturing,35
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4534A,Ogden Manufacturing,35
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",Inspection Square B2,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",CS Warehouse,Customer Support,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",Overflow Inventor B3,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4461A,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",PG1053H,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4471A,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4334A,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4344A,Ogden Manufacturing,35
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4434A,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4461B,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4474A,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",B4454B,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101102-000,"ASSEMBLY, BURNER WITH RADIATION SHIELDS, TRI-CLAMP INLET",QA-Incoming-Floor,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",CAE Location BIN,CAE Warehouse,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",PG1052F,Ogden Manufacturing,2
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4374A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4474B,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4473B,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4454A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",PG2042D,Ogden Manufacturing,7
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",PG2031B,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4412B,Ogden Manufacturing,15
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",PG2031A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",PG2043A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",PG2043B,Ogden Manufacturing,12
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",PG2043C,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4584A,Ogden Manufacturing,100
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",Inspection Square B2,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",CS Warehouse,Customer Support,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",Overflow Inventor B3,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",Calgary - Canada,Calgary Warehouse,4
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4424A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4331A,Bay 4 Bulk Storage,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4322A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4324A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4372A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4451A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4331A,Ogden Manufacturing,0
Inventory Item,1500-101107-000,"INSULATION RING, BURNER, SMARTGEN",B4373A,Ogden Manufacturing,0
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",B4383B,Ogden Manufacturing,0
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",PG1051D,Ogden Manufacturing,0
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",B4373B,Ogden Manufacturing,0
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",PG2042A,Ogden Manufacturing,68
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",CS Warehouse,Customer Support,0
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",B4434B,Ogden Manufacturing,300
Inventory Item,1500-101110-000,"SEAL, HT GLASS 750C ROPE, 185 mm ID",B4373A,Ogden Manufacturing,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",PG120,Ogden Manufacturing,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",B4412A,Ogden Manufacturing,317
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",CS Warehouse,Customer Support,78
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",CS-3 (Brandon C),Customer Support,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",CS-1 (Matt J),Customer Support,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",CS-2 (Nate S),Customer Support,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",PA Warehouse,Pennsylvania Warehouse,48
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",PG2044B,Ogden Manufacturing,47
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",5 YEAR KIT,Ogden Manufacturing,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",B4411B,Ogden Manufacturing,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",CS12I,Customer Support,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",PG1081B,Ogden Manufacturing,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",Finish Goods,Ogden Manufacturing,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",Robert Garcia,Customer Support,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",Calgary - Canada,Calgary Warehouse,12
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",TX Warehouse,Texas Warehouse,16
Inventory Item,1500-101114-000,"ELECTRODE, SPARK, MALE PLUG CONNECTOR. RAUSCHERT",Pennsylvania Warehou,Customer Support,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",PA Warehouse,Pennsylvania Warehouse,50
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",PG120,Ogden Manufacturing,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",PG2044A,Ogden Manufacturing,182
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",5 YEAR KIT,Ogden Manufacturing,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",PG1081C,Ogden Manufacturing,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",Finish Goods,Ogden Manufacturing,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",CS12H,Customer Support,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",Inspection Square B2,Ogden Manufacturing,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",CS-3 (Brandon C),Customer Support,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",CS-2 (Nate S),Customer Support,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",Robert Garcia,Customer Support,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",B4331A,Ogden Manufacturing,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",TX Warehouse,Texas Warehouse,16
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",Pennsylvania Warehou,Customer Support,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",Calgary - Canada,Calgary Warehouse,14
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",CS-1 (Matt J),Customer Support,0
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",CS Warehouse,Customer Support,62
Inventory Item,1500-101115-000,"ELECTRODE, FLAME SENSOR, MALE PLUG CONNECTOR. RAUSCHERT P-17-0105-11",B4332B,Ogden Manufacturing,0
Inventory Item,1500-101119-000,"PLATE, STIFFENER, ELECTRODE FLANGE",PG120,Ogden Manufacturing,238
Inventory Item,1500-101119-000,"PLATE, STIFFENER, ELECTRODE FLANGE",B4332B,Ogden Manufacturing,0
Inventory Item,1500-101119-000,"PLATE, STIFFENER, ELECTRODE FLANGE",B4333A,Ogden Manufacturing,0
Inventory Item,1500-101119-000,"PLATE, STIFFENER, ELECTRODE FLANGE",B4321B,Ogden Manufacturing,0
Inventory Item,1500-101119-000,"PLATE, STIFFENER, ELECTRODE FLANGE",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101119-000,"PLATE, STIFFENER, ELECTRODE FLANGE",Racks-Bay 1,Ogden Manufacturing,106
Inventory Item,1500-101119-000,"PLATE, STIFFENER, ELECTRODE FLANGE",Inspection Square B2,Ogden Manufacturing,0
Inventory Item,1500-101124-000,"FITTING, TRI-CLAMP, QRP CONVERTED CHP",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101124-000,"FITTING, TRI-CLAMP, QRP CONVERTED CHP",Inspection Square B2,Ogden Manufacturing,0
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",PA Warehouse,Pennsylvania Warehouse,124
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",TX Warehouse,Texas Warehouse,22
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",CS-1 (Matt J),Customer Support,0
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",Inspection Square B2,Ogden Manufacturing,0
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",CS-3 (Brandon C),Customer Support,0
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",PG120,Ogden Manufacturing,384
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",Pennsylvania Warehou,Customer Support,0
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",CS-2 (Nate S),Customer Support,0
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",CS Warehouse,Customer Support,348
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",CAE Location BIN,CAE Warehouse,0
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",CS12F,Customer Support,14
Inventory Item,1500-101128-000,"NUT, ELECTRODE RETAINER, LONG WITH FINS",Receiving Dock,Ogden Manufacturing,0
