OPT1;OPT2;OPT3;OPT4;OPT5;OPT6
LTST-C190KRKT;150060SS75000;;;;
LTST-C190KGKT;150060VS75000;;;;
961102-6404-AR;61300211121;;;;
M7581-05;60900213521;;;;
SRN5040-4R7M;74404054047;;;;
74404054150;SRN5040-150M;;;;
SRN5040-220M;74404054220;;;;
74404064470;NRS6045T470MMGK;;;;
434123025826;KMR421GLFS;;;;
PTRD-1C-12S-1-X;AZ2150-1C-12DE;;;;
06035C102KAT2A;885012206083;;;;
1210AA102KAT1A;885342009003;;;;
CGA3E1X7R1E105M080AE;885012206076;;;;
C0603C152F5GACTU;885012206084;;;;
CC0603KRX7R9BB222;885012206085;;;;
C1608X5R1C225M080AB;885012106018;;;;
TMK212AB7475KG-T;C2012X7R1E475K125AE;;;;
885012206089;C0603C103K5RACTU;;;;
VJ0603A100JXACW1BC;885012006051;;;;
TMK316AB7106KLHT;885012208069;;;;
885012208019;CL31B226MPHNNNE;;;;
VJ0603A330FXACW1BC;885012006054;;;;
C0603C563K5RACTU;VJ0603Y563KXAPW1BC;;;;
885012206095;06035C104KAT2A;;;;
885012006057;VJ0603A101FXACW1BC;;;;
885012006058;VJ0603A151FXACW1BC;;;;
C0603C224K3RACTU;885012206073;;;;
C1608X7R1H474K080AC;C1608X5R1H474K;;;;
885012006061;VJ0603A471FXACW1BC;;;;
RC0603JR-070RL;CR0603-J/-000ELF;;;;
MC33060AD;MC33060ADG;;;;
SDM2U30CSP-7;NSR20F30NXT5G;;;;
OPA2378AIDCNT;OPA2378AIDCNR;;;;
615008140621;RJHSE-5380;;;;
SI8238BB-D-IS1R;SI8238BB-D-IS1;;;;
Si8621AB-B-ISR;SI8621AB-B-IS;;;;
SMAJ16A;824500161;;;;
824500171;SMAJ17A;;;;
824501901;SMAJ90CA;;;;
TPS60403DBVR;TPS60403DBVT;;;;
TZMC18-GS08;TZMC18-GS18;;;;
REF1933AIDDCT;REF2033QDDCRQ1;;;;
M95M01-RMN6P;M95M01-DFMN6TP;;;;
W2A4YC103KAT2A;CKCL44X7R1E103M085AA;CA0508MRX7R8BB103;;;
